,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
80,Juan Bernat,es ESP,DF,Benfica,30,1993,1.2,0,1,1,100.0,0.81,0.81,0.0,0.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
84,Lewin Blum,ch SUI,DF,Young Boys,22,2001,2.4,1,4,1,25.0,1.67,0.42,0.25,1.0,0,0,0,0.1,0.1,0.02,0.9,0.9
85,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,2.4,1,4,2,50.0,1.65,0.83,0.25,0.5,0,0,0,0.2,0.2,0.05,0.8,0.8
86,Sacha Boey,fr FRA,DF,Galatasaray,22,2000,6.0,1,5,1,20.0,0.83,0.17,0.2,1.0,0,0,0,0.2,0.2,0.05,0.8,0.8
95,Julian Brandt,de GER,"MF,FW",Dortmund,27,1996,8.7,2,19,6,31.6,2.18,0.69,0.11,0.33,1,0,0,1.4,1.4,0.07,0.6,0.6
96,Bruma,pt POR,FW,Braga,28,1994,4.1,2,12,5,41.7,2.91,1.21,0.17,0.4,0,0,0,0.7,0.7,0.06,1.3,1.3
97,Osman Bukari,gh GHA,FW,Red Star,24,1998,5.4,2,12,2,16.7,2.22,0.37,0.17,1.0,0,0,0,1.0,1.0,0.08,1.0,1.0
98,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,3.1,1,3,1,33.3,0.97,0.32,0.33,1.0,0,0,0,0.2,0.2,0.07,0.8,0.8
100,Arthur Cabral,br BRA,"FW,DF",Benfica,25,1998,1.3,1,3,1,33.3,2.25,0.75,0.33,1.0,0,0,0,0.7,0.7,0.23,0.3,0.3
104,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,5.7,1,11,2,18.2,1.94,0.35,0.0,0.0,2,1,1,1.1,0.4,0.03,-0.1,-0.4
105,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,8.8,0,10,4,40.0,1.14,0.46,0.0,0.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3
